appcategory_id,appid,category_id
1,10,10
2,10,14
3,10,16
4,10,28
5,20,10
6,20,14
7,20,16
8,20,28
9,30,14
10,30,28
11,40,10
12,40,14
13,40,16
14,40,28
15,50,14
16,50,19
17,50,28
18,60,14
19,60,16
20,60,28
21,70,14
22,70,16
23,70,19
24,70,22
25,70,28
26,80,14
27,80,19
28,80,28
29,130,19
30,220,1
31,220,8
32,220,17
33,220,19
34,220,21
35,220,22
36,220,24
37,240,4
38,240,8
39,240,14
40,240,20
41,240,21
42,240,22
43,240,28
44,280,19
45,300,4
46,300,8
47,300,14
48,300,20
49,300,21
50,300,24
51,300,28
52,320,8
53,320,14
54,320,28
55,340,3
56,340,19
57,360,14
58,360,28
59,380,1
60,380,3
61,380,8
62,380,17
63,380,19
64,380,20
65,380,21
66,380,22
67,400,1
68,400,3
69,400,7
70,400,8
71,400,17
72,400,19
73,400,21
74,420,1
75,420,3
76,420,8
77,420,17
78,420,19
79,420,20
80,420,21
81,420,22
82,440,1
83,440,3
84,440,4
85,440,6
86,440,7
87,440,14
88,440,17
89,440,20
90,440,21
91,440,24
92,440,26
93,440,28
94,500,1
95,500,2
96,500,3
97,500,5
98,500,8
99,500,14
100,500,19
101,500,20
102,500,21
103,500,22
104,500,23
105,500,28
106,550,1
107,550,2
108,550,3
109,550,5
110,550,8
111,550,14
112,550,19
113,550,20
114,550,21
115,550,22
116,550,24
117,550,26
118,550,28
119,570,2
120,570,6
121,570,14
122,570,24
123,570,26
124,570,27
125,570,28
126,620,1
127,620,2
128,620,3
129,620,5
130,620,7
131,620,19
132,620,20
133,620,21
134,620,22
135,620,24
136,620,26
137,630,1
138,630,2
139,630,7
140,630,14
141,630,19
142,630,20
143,630,21
144,630,22
145,730,5
146,730,6
147,730,14
148,730,20
149,730,21
150,730,24
151,730,26
152,730,28
153,1002,14
154,1002,19
155,1200,14
156,1200,21
157,1200,28
158,1250,2
159,1250,4
160,1250,7
161,1250,14
162,1250,19
163,1250,20
164,1250,21
165,1250,24
166,1250,26
167,1250,28
168,1300,19
169,1300,20
170,1500,19
171,1510,19
172,1520,14
173,1520,19
174,1530,14
175,1530,19
176,1530,21
177,1600,14
178,1600,19
179,1610,14
180,1610,19
181,1630,2
182,1630,14
183,1630,19
184,1640,2
185,1640,14
186,1640,19
187,1670,14
188,1670,19
189,1690,14
190,1690,19
191,1700,19
192,1840,26
193,1900,2
194,1900,4
195,1900,14
196,1900,19
197,1900,24
198,1930,4
199,1930,14
200,1930,15
201,1930,16
202,1930,17
203,1930,19
204,1930,24
205,2100,14
206,2100,19
207,2100,28
208,2200,14
209,2200,19
210,2200,22
211,2210,14
212,2210,19
213,2210,22
214,2270,19
215,2270,22
216,2280,19
217,2280,22
218,2290,19
219,2290,22
220,2300,14
221,2300,19
222,2300,22
223,2310,2
224,2310,14
225,2310,19
226,2310,22
227,2320,2
228,2320,14
229,2320,19
230,2320,22
231,2330,14
232,2330,19
233,2330,22
234,2340,14
235,2340,19
236,2340,22
237,2350,14
238,2350,19
239,2350,22
240,2360,19
241,2360,22
242,2370,19
243,2370,22
244,2390,14
245,2390,19
246,2390,22
247,2400,14
248,2400,19
249,2400,24
250,2400,28
251,2450,14
252,2450,19
253,2450,21
254,2500,18
255,2500,19
256,2500,24
257,2520,19
258,2590,19
259,2600,19
260,2610,19
261,2620,14
262,2620,19
263,2630,14
264,2630,19
265,2640,14
266,2640,19
267,2710,14
268,2710,19
269,2720,7
270,2720,14
271,2720,19
272,2780,7
273,2780,14
274,2780,19
275,2800,1
276,2800,19
277,2800,22
278,2810,1
279,2810,19
280,2810,22
281,2820,1
282,2820,5
283,2820,19
284,2820,21
285,2820,22
286,2840,19
287,2840,22
288,2850,19
289,2850,22
290,2870,1
291,2870,5
292,2870,19
293,2870,21
294,2870,22
295,2870,24
296,2870,26
297,2900,14
298,2900,19
299,2910,19
300,2920,2
301,2920,7
302,2920,14
303,2920,19
304,2990,19
305,3010,14
306,3010,19
307,3020,14
308,3020,19
309,3020,24
310,3050,14
311,3050,19
312,3130,19
313,3130,22
314,3170,19
315,3170,22
316,3230,14
317,3230,19
318,3260,19
319,3270,14
320,3270,19
321,3330,19
322,3410,19
323,3480,19
324,3483,19
325,3490,19
326,3500,19
327,3510,19
328,3520,19
329,3530,19
330,3540,19
331,3560,19
332,3570,19
333,3580,19
334,3590,19
335,3590,21
336,3600,19
337,3610,19
338,3620,19
339,3620,20
340,3620,21
341,3700,19
342,3700,24
343,3710,2
344,3710,14
345,3710,19
346,3720,19
347,3730,14
348,3730,19
349,3800,19
350,3800,24
351,3810,19
352,3810,24
353,3820,19
354,3820,24
355,3830,17
356,3830,19
357,3830,21
358,3830,22
359,3830,24
360,3900,7
361,3900,14
362,3900,19
363,3910,7
364,3910,14
365,3910,19
366,3920,19
367,3960,14
368,3960,19
369,3980,19
370,3990,19
371,4000,1
372,4000,2
373,4000,4
374,4000,7
375,4000,14
376,4000,19
377,4000,21
378,4000,22
379,4000,24
380,4000,26
381,4000,28
382,4100,19
383,4230,14
384,4230,19
385,4290,14
386,4290,19
387,4300,7
388,4300,17
389,4300,19
390,4420,19
391,4460,19
392,4470,14
393,4470,19
394,4500,14
395,4500,19
396,4520,2
397,4520,14
398,4520,19
399,4530,2
400,4530,14
401,4530,19
402,4560,14
403,4560,19
404,4560,22
405,4560,24
406,4560,26
407,4570,14
408,4570,19
409,4570,22
410,4570,24
411,4580,14
412,4580,19
413,4580,22
414,4700,14
415,4700,19
416,4700,24
417,4720,19
418,4760,14
419,4760,19
420,4760,24
421,4770,14
422,4770,19
423,4780,14
424,4780,19
425,4800,14
426,4800,19
427,4850,14
428,4850,19
429,4870,19
430,4880,19
431,4890,10
432,4890,14
433,4890,16
434,4890,19
435,4900,19
436,4920,7
437,4920,14
438,4920,16
439,4920,21
440,4920,22
441,4920,24
442,4920,26
443,4920,28
444,6000,10
445,6000,14
446,6000,19
447,6000,22
448,6010,19
449,6010,22
450,6020,10
451,6020,16
452,6020,17
453,6020,19
454,6020,22
455,6030,10
456,6030,16
457,6030,17
458,6030,19
459,6030,22
460,6040,19
461,6040,22
462,6060,14
463,6060,16
464,6060,17
465,6060,19
466,6060,22
467,6080,2
468,6080,9
469,6080,10
470,6080,17
471,6080,18
472,6080,19
473,6080,22
474,6090,19
475,6090,22
476,6120,5
477,6120,18
478,6120,19
479,6120,21
480,6120,22
481,6200,19
482,6210,19
483,6220,14
484,6220,19
485,6250,14
486,6250,19
487,6270,14
488,6270,19
489,6300,19
490,6310,19
491,6370,11
492,6370,14
493,6370,19
494,6400,2
495,6400,14
496,6400,18
497,6400,19
498,6420,7
499,6420,14
500,6420,19
501,6510,14
502,6510,17
503,6510,19
504,6510,28
505,6550,17
506,6550,19
507,6800,2
508,6800,14
509,6800,19
510,6810,2
511,6810,14
512,6810,19
513,6830,2
514,6830,14
515,6830,19
516,6840,2
517,6840,14
518,6840,19
519,6850,19
520,6860,19
521,6870,19
522,6880,19
523,6900,19
524,6910,14
525,6910,19
526,6920,19
527,6980,19
528,7000,17
529,7000,19
530,7010,14
531,7010,19
532,7020,2
533,7020,14
534,7020,19
535,7110,17
536,7110,19
537,7200,7
538,7200,14
539,7200,19
540,7210,19
541,7220,19
542,7260,14
543,7260,19
544,7340,19
545,7510,17
546,7510,19
547,7510,24
548,7520,2
549,7520,4
550,7520,5
551,7520,6
552,7520,14
553,7520,15
554,7520,16
555,7520,19
556,7520,21
557,7520,22
558,7520,24
559,7530,19
560,7530,22
561,7530,24
562,7600,14
563,7600,19
564,7610,14
565,7610,19
566,7620,19
567,7650,19
568,7660,19
569,7730,14
570,7730,19
571,7760,19
572,7770,14
573,7770,19
574,7830,7
575,7830,14
576,7830,19
577,7830,22
578,7840,19
579,7840,22
580,7860,14
581,7860,19
582,7860,22
583,7940,14
584,7940,19
585,8000,17
586,8000,19
587,8080,14
588,8080,17
589,8080,18
590,8080,19
591,8100,19
592,8140,19
593,8170,14
594,8170,17
595,8170,19
596,8190,5
597,8190,19
598,8190,21
599,8190,22
600,8310,19
601,8320,19
602,8330,19
603,8340,19
604,8400,5
605,8400,19
606,8500,2
607,8500,11
608,8500,14
609,8500,15
610,8500,16
611,8500,24
612,8600,14
613,8600,19
614,8790,14
615,8790,19
616,8800,19
617,8870,5
618,8870,19
619,8870,21
620,8870,22
621,8870,24
622,8880,14
623,8880,19
624,8890,14
625,8890,19
626,8930,14
627,8930,19
628,8930,21
629,8930,22
630,8930,24
631,8970,19
632,8970,21
633,9000,19
634,9000,22
635,9010,14
636,9010,19
637,9010,22
638,9030,14
639,9030,19
640,9030,22
641,9040,14
642,9040,19
643,9040,22
644,9050,14
645,9050,19
646,9050,22
647,9060,2
