appdeveloper_id,appid,developer_id
1,10,16513
2,20,16513
3,30,16513
4,40,16513
5,50,6121
6,60,16513
7,70,16513
8,80,16513
9,130,6121
10,220,16513
11,240,16513
12,280,16513
13,300,16513
14,320,16513
15,340,16513
16,360,16513
17,380,16513
18,400,16513
19,420,16513
20,440,16513
21,500,16513
22,550,16513
23,570,16513
24,620,16513
25,630,16513
26,730,6928
27,730,16513
28,1002,9616
29,1200,16139
30,1250,16139
31,1300,13065
32,1500,7561
33,1510,7561
34,1520,7561
35,1530,7561
36,1600,14311
37,1610,9515
38,1630,14767
39,1640,14767
40,1670,14767
41,1690,9515
42,1700,1138
43,1840,16513
44,1900,12737
45,1930,12737
46,2100,1138
47,2200,7237
48,2210,12686
49,2270,7237
50,2280,7237
51,2290,7237
52,2300,7237
53,2310,7237
54,2320,7237
55,2330,17363
56,2340,13200
57,2350,7237
58,2360,12682
59,2370,12682
60,2390,12682
61,2400,11475
62,2450,11475
63,2500,5760
64,2520,2925
65,2590,1909
66,2600,16154
67,2610,10713
68,2620,7468
69,2630,1260
70,2630,7468
71,2640,6440
72,2710,5019
73,2720,7596
74,2780,2123
75,2800,4697
76,2810,4697
77,2820,4697
78,2840,4697
79,2850,4697
80,2870,4697
81,2900,14311
82,2910,14311
83,2920,14311
84,2990,2390
85,3010,15384
86,3020,15384
87,3050,15384
88,3130,49
89,3170,8299
90,3230,9907
91,3260,8391
92,3270,10107
93,3330,12236
94,3410,12236
95,3480,12236
96,3483,12236
97,3490,12962
98,3500,14465
99,3510,14465
100,3520,14465
101,3530,14465
102,3540,12236
103,3560,12236
104,3570,14465
105,3580,12236
106,3590,12236
107,3600,14465
108,3610,14465
109,3620,12236
110,3700,12757
111,3710,12757
112,3720,4777
113,3730,12757
114,3800,6295
115,3810,15449
116,3820,15449
117,3830,4319
118,3900,5383
119,3910,5383
120,3920,5383
121,3960,12242
122,3980,5383
123,3980,5399
124,3990,5383
125,4000,5186
126,4100,5814
127,4230,13958
128,4290,13958
129,4300,10531
130,4420,10297
131,4460,10297
132,4470,10297
133,4500,6561
134,4520,11569
135,4530,11569
136,4560,12898
137,4570,12898
138,4580,12898
139,4700,3357
140,4700,5322
141,4700,5323
142,4720,10281
143,4760,3357
144,4770,15514
145,4780,5322
146,4780,5323
147,4780,15514
148,4800,6561
149,4850,6561
150,4870,6561
151,4880,6561
152,4890,6561
153,4900,16399
154,4920,16399
155,6000,9225
156,6010,9225
157,6020,1260
158,6020,12682
159,6030,1260
160,6030,12682
161,6040,9225
162,6060,11569
163,6080,5737
164,6090,12059
165,6120,8486
166,6200,13893
167,6210,3913
168,6220,2390
169,6250,10452
170,6270,1191
171,6300,5806
172,6310,5806
173,6370,14890
174,6400,10356
175,6420,10183
176,6420,15719
177,6510,2550
178,6550,2550
179,6800,12445
180,6810,12445
181,6830,12445
182,6840,12445
183,6850,7594
184,6860,7594
185,6870,4700
186,6880,1365
187,6900,7592
188,6910,7599
189,6920,7599
190,6980,7599
191,7000,3445
192,7010,3445
193,7020,12757
194,7110,1833
195,7200,10520
196,7210,11739
197,7220,11739
198,7260,3520
199,7340,1759
200,7510,5901
201,7520,12737
202,7530,12737
203,7600,5323
204,7600,5383
205,7610,12242
206,7620,12242
207,7650,9991
208,7660,9991
209,7730,9991
210,7760,9991
211,7770,9991
212,7830,1717
213,7840,14061
214,7860,15535
215,7940,1260
216,7940,7468
217,8000,3445
218,8000,5323
219,8080,7591
220,8100,11946
221,8140,3445
222,8170,4702
223,8190,1365
224,8310,15414
225,8320,15414
226,8330,15414
227,8340,15414
228,8400,1886
229,8500,2683
230,8600,13958
231,8790,13959
232,8800,5383
233,8870,1260
234,8870,7650
235,8870,16706
236,8880,7650
237,8890,7650
238,8930,1258
239,8930,1260
240,8930,5383
