appgenre_id,appid,genres_id
1,10,2
2,20,2
3,30,2
4,40,2
5,50,2
6,60,2
7,70,2
8,80,2
9,130,2
10,220,2
11,240,2
12,280,2
13,300,2
14,320,2
15,340,2
16,360,2
17,380,2
18,400,2
19,420,2
20,440,2
21,440,11
22,500,2
23,550,2
24,570,2
25,570,11
26,570,24
27,620,2
28,620,3
29,630,2
30,730,2
31,730,11
32,1002,14
33,1200,2
34,1250,2
35,1300,2
36,1500,14
37,1500,24
38,1510,14
39,1510,24
40,1520,14
41,1520,24
42,1530,14
43,1600,24
44,1610,24
45,1630,24
46,1640,24
47,1670,24
48,1690,24
49,1700,19
50,1840,4
51,1840,27
52,1900,24
53,1930,19
54,2100,2
55,2100,19
56,2200,2
57,2210,2
58,2270,2
59,2280,2
60,2290,2
61,2300,2
62,2310,2
63,2320,2
64,2330,2
65,2340,2
66,2350,2
67,2360,2
68,2370,2
69,2390,2
70,2400,2
71,2400,14
72,2400,19
73,2450,2
74,2500,2
75,2520,6
76,2520,14
77,2590,2
78,2600,2
79,2610,2
80,2620,2
81,2630,2
82,2640,2
83,2710,2
84,2720,2
85,2720,14
86,2720,24
87,2780,2
88,2800,24
89,2810,24
90,2820,2
91,2820,21
92,2820,24
93,2840,21
94,2840,24
95,2850,21
96,2850,24
97,2870,2
98,2870,21
99,2900,24
100,2910,24
101,2920,24
102,2990,18
103,3010,18
104,3020,2
105,3050,18
106,3130,24
107,3170,19
108,3170,24
109,3230,24
110,3260,3
111,3260,6
112,3270,2
113,3330,6
114,3410,6
115,3480,6
116,3483,6
117,3490,6
118,3500,6
119,3510,6
120,3520,6
121,3530,6
122,3540,6
123,3560,6
124,3560,24
125,3570,6
126,3580,6
127,3590,24
128,3600,6
129,3610,6
130,3620,2
131,3620,6
132,3700,2
133,3710,2
134,3720,24
135,3730,2
136,3800,2
137,3810,2
138,3820,2
139,3830,2
140,3900,24
141,3910,24
142,3920,19
143,3960,24
144,3980,24
145,3990,24
146,4000,14
147,4000,21
148,4100,6
149,4100,14
150,4100,24
151,4230,18
152,4290,18
153,4300,2
154,4300,14
