appplatform_id,appid,platform_id
1,10,1
2,10,2
3,10,3
4,20,1
5,20,2
6,20,3
7,30,1
8,30,2
9,30,3
10,40,1
11,40,2
12,40,3
13,50,1
14,50,2
15,50,3
16,60,1
17,60,2
18,60,3
19,70,1
20,70,2
21,70,3
22,80,1
23,80,2
24,80,3
25,130,1
26,130,2
27,130,3
28,220,1
29,220,2
30,220,3
31,240,1
32,240,2
33,240,3
34,280,1
35,280,2
36,280,3
37,300,1
38,300,2
39,300,3
40,320,1
41,320,2
42,320,3
43,340,1
44,340,2
45,340,3
46,360,1
47,360,2
48,360,3
49,380,1
50,380,2
51,380,3
52,400,1
53,400,2
54,400,3
55,420,1
56,420,2
57,420,3
58,440,1
59,440,2
60,440,3
61,500,2
62,500,3
63,550,1
64,550,2
65,550,3
66,570,1
67,570,2
68,570,3
69,620,1
70,620,2
71,620,3
72,630,3
73,730,1
74,730,2
75,730,3
76,1002,3
77,1200,1
78,1200,2
79,1200,3
80,1250,1
81,1250,2
82,1250,3
83,1300,3
84,1500,1
85,1500,2
86,1500,3
87,1510,1
88,1510,2
89,1510,3
90,1520,1
91,1520,2
92,1520,3
93,1530,2
94,1530,3
95,1600,3
96,1610,3
97,1630,3
98,1640,3
99,1670,3
100,1690,3
101,1700,3
102,1840,3
103,1900,1
104,1900,2
105,1900,3
106,1930,1
107,1930,2
108,1930,3
109,2100,3
110,2200,3
111,2210,3
112,2270,3
113,2280,3
114,2290,3
115,2300,3
116,2310,3
117,2320,3
118,2330,3
119,2340,3
120,2350,3
121,2360,3
122,2370,3
123,2390,3
124,2400,3
125,2450,3
126,2500,2
127,2500,3
128,2520,3
129,2590,3
130,2600,3
131,2610,3
132,2620,3
133,2630,2
134,2630,3
135,2640,3
136,2710,3
137,2720,3
138,2780,3
139,2800,3
140,2810,1
141,2810,2
142,2810,3
143,2820,1
144,2820,2
145,2820,3
146,2840,3
147,2850,3
148,2870,1
149,2870,2
150,2870,3
151,2900,3
152,2910,3
153,2920,3
154,2990,3
155,3010,3
156,3020,3
157,3050,3
158,3130,3
159,3170,2
160,3170,3
161,3230,3
162,3260,3
163,3270,3
164,3330,2
165,3330,3
166,3410,3
167,3480,2
168,3480,3
169,3483,3
170,3490,3
171,3500,3
172,3510,3
173,3520,3
174,3530,3
175,3540,2
176,3540,3
177,3560,3
178,3570,3
179,3580,3
180,3590,2
181,3590,3
182,3600,2
183,3600,3
