apppublisher_id,appid,publisher_id
1,10,13146
2,20,13146
3,30,13146
4,40,13146
5,50,13146
6,60,13146
7,70,13146
8,80,13146
9,130,13146
10,220,13146
11,240,13146
12,280,13146
13,300,13146
14,320,13146
15,340,13146
16,360,13146
17,380,13146
18,400,13146
19,420,13146
20,440,13146
21,500,13146
22,550,13146
23,570,13146
24,620,13146
25,630,13146
26,730,13146
27,1002,7633
28,1200,12845
29,1250,12845
30,1300,10418
31,1500,6132
32,1510,6132
33,1520,6132
34,1530,6132
35,1600,11750
36,1610,11750
37,1630,11750
38,1640,11750
39,1670,11750
40,1690,11750
41,1700,957
42,1840,13146
43,1900,346
44,1900,12710
45,1930,12710
46,2100,12966
47,2200,5850
48,2210,1437
49,2270,1439
50,2280,5850
51,2290,5850
52,2300,5850
53,2310,5850
54,2320,5850
55,2330,5850
56,2340,5850
57,2350,5850
58,2360,5850
59,2370,5850
60,2390,5850
61,2400,1669
62,2450,12966
63,2500,4608
64,2520,2405
65,2590,1766
66,2600,369
67,2610,369
68,2620,369
69,2630,369
70,2630,1044
71,2640,369
72,2710,12513
73,2720,1073
74,2780,1766
75,2800,3757
76,2810,3757
77,2820,3757
78,2840,3757
79,2850,3757
80,2870,3757
81,2900,11750
82,2910,11750
83,2920,11750
84,2990,11750
85,3010,12232
86,3020,12233
87,3050,12232
88,3130,101
89,3130,106
90,3170,101
91,3230,12513
92,3260,5396
93,3270,12513
94,3330,9717
95,3410,9717
96,3480,9717
97,3483,9717
98,3490,9717
99,3500,9717
100,3510,9717
101,3520,9717
102,3530,9717
103,3540,9717
104,3560,9717
105,3570,9717
106,3580,9717
107,3590,9717
108,3600,9717
109,3610,9717
110,3620,9717
111,3700,10157
112,3710,10157
113,3720,10157
114,3730,10157
115,3800,7550
116,3810,7550
117,3820,7550
118,3830,3467
119,3900,144
120,3910,144
121,3920,144
122,3960,144
123,3980,144
124,3990,144
125,4000,13146
126,4100,4664
127,4230,11123
128,4290,11123
129,4300,8355
130,4420,4431
131,4460,4431
132,4470,4431
133,4500,5294
134,4520,12513
135,4530,12513
136,4560,10881
137,4570,10881
138,4580,10881
139,4700,4227
140,4700,4228
141,4700,10881
142,4720,10881
143,4760,10881
144,4770,10881
145,4780,4227
146,4780,4228
147,4780,10881
148,4800,5294
149,4850,5295
150,4870,5295
151,4880,5295
152,4890,5295
153,4900,13046
154,4920,13046
155,6000,3361
156,6000,7327
157,6000,7328
158,6010,3361
159,6010,7327
160,6010,7328
161,6020,1044
162,6020,3361
163,6020,7327
164,6020,7328
165,6030,1044
166,6030,3361
167,6030,7327
168,6030,7328
169,6040,7327
170,6060,3361
171,6060,7327
172,6060,7328
173,6080,7327
174,6090,3361
175,6090,7327
176,6090,7328
177,6120,6758
178,6200,11750
179,6210,11750
180,6220,11750
181,6250,11750
182,6270,11750
183,6300,4653
184,6310,4653
185,6370,11846
186,6400,5475
187,6420,5396
188,6510,2098
189,6550,2098
190,6800,6590
191,6810,6590
192,6830,6590
193,6840,6590
194,6850,6152
195,6860,6152
196,6870,11552
197,6880,11552
198,6900,6150
199,6910,11552
200,6920,11552
201,6980,11552
202,7000,11552
203,7010,11552
204,7020,10157
205,7110,1526
206,7110,3790
207,7200,12966
208,7210,4431
209,7220,4431
210,7260,4431
211,7340,1465
212,7510,12710
213,7520,12714
214,7530,12710
215,7600,144
216,7600,4228
217,7610,144
218,7620,144
219,7650,144
220,7660,144
221,7730,144
222,7760,144
223,7770,144
224,7830,101
225,7830,106
226,7840,101
227,7860,101
228,7940,369
229,7940,1044
230,8000,4228
231,8000,11552
232,8080,11552
233,8100,11552
234,8140,11552
235,8170,11552
236,8190,11552
237,8310,12255
238,8320,12255
239,8330,12255
240,8340,12255
241,8400,369
242,8500,2205
243,8600,11123
244,8790,11123
245,8800,144
246,8870,144
247,8870,1044
248,8880,144
249,8890,144
250,8930,144
251,8930,1043
252,8930,1044
253,8970,144
254,9000,5850
255,9010,1439
256,9030,5850
257,9040,5850
258,9050,5850
259,9060,5850
260,9160,5850
261,9180,5850
262,9200,1437
263,9310,10881
264,9340,10881
265,9350,11552
266,9420,11552
267,9450,10881
268,9460,12513
269,9480,3116
270,9500,2374
271,9710,12513
272,9760,12513
273,9800,101
274,9850,12513
275,9880,9310
276,9900,9310
277,9940,6845
278,9960,1073
279,9970,1073
280,9980,10326
281,10090,369
282,10100,369
283,10110,369
284,10120,369
285,10130,369
286,10140,369
287,10150,369
288,10180,369
289,10180,1044
290,10220,490
291,10230,490
292,10240,490
293,10250,490
294,10260,490
295,10270,6590
296,10460,10881
297,10500,4227
298,10500,4228
299,10500,10881
300,10680,10881
301,11020,12966
302,11040,4576
303,11050,4576
304,11130,4576
305,11140,4576
306,11150,4576
307,11190,4576
308,11200,4608
309,11230,2405
310,11240,7831
311,11250,1975
312,11260,1975
313,11280,4570
314,11330,7831
315,11340,7831
316,11360,7831
317,11450,2498
318,11480,101
319,11560,2498
320,11590,2498
321,12100,10502
322,12110,10502
323,12120,10502
