category_id,category_name
1,Captions available
2,Co-op
3,Commentary available
4,Cross-Platform Multiplayer
5,Full controller support
6,In-App Purchases
7,Includes level editor
8,Includes Source SDK
9,Local Co-op
10,Local Multi-Player
11,MMO
12,Mods
13,Mods (require HL2)
14,Multi-player
15,Online Co-op
16,Online Multi-Player
17,Partial Controller Support
18,Shared/Split Screen
19,Single-player
20,Stats
21,Steam Achievements
22,Steam Cloud
23,Steam Leaderboards
24,Steam Trading Cards
25,Steam Turn Notifications
26,Steam Workshop
27,SteamVR Collectibles
28,Valve Anti-Cheat enabled
29,VR Support
