developer_id,developer_name
1,"""Ellie"""
2,#workshop
3,'What Day is it?' Games
4,(STCG) Smoker The Car Game
5,+7 Software
6,"+Mpact Games, LLC."
7,-Yodasaurus- Games
8,.dat
9,.ez Games
10,.M.Y.W.
11,07th Expansion
12,08 Games
13,0Bennyman
14,0Cube
15,100 Plus Games llc
16,100 Stones Interactive
17,10101 Software
18,10Ants Hill
19,10ft Games
20,10ravens s.r.o.
21,10th Art Studio
22,10tons Ltd
23,10x10 Room
24,11 bit studios
25,11Sheep
26,12 East Games
27,12 Hit Combo
28,12 to 6 Studios LLC
29,12B3
30,13-lab
31,1337 & Senri AB
32,13AM Games
33,14 Dimension Enterprise
34,14 Hours Productions
35,14Dimension Enterprise
36,14° East
37,16 Bit Psych
38,16 Swans
39,16air
40,16bit Nights
41,17-BIT
42,17Studio
43,1812 Productions (PC Port)
44,1888 Games
45,18Light Game Ltd.
46,1939 Games
47,1bgame
48,1C Company
49,1C Entertainment
50,1C Game Studios
51,1C Wireless
52,1C-Avalon
53,1C-SoftClub
54,1C: Maddox Games
55,1C:InoCo
56,1CC Games
57,1MP
58,1st impact games
59,2 Bears Studio
60,2 Hit Studio
61,2 Monkeys
62,2 players
63,2 Zombie Games
64,"2,000 Damage"
65,2-Volt Games
66,2.0 Studios
67,2015
68,2020 Venture
69,2049VR
70,20letpast
71,"21c.Ducks Co., Ltd."
72,22cans
73,25% Games
74,251 Games
75,2645turquoise
76,26k
77,2Awesome Studio
78,2B_GAMES
79,2BAD GAMES
80,2BDev
81,2Bit Studios
82,2by3 Games
83,2Chance Projects
84,2cute
85,2D BOY
86,2D Heroes
87,2DArray
88,2dengine
89,2DEngine.com
90,2DGameMania
91,2DHD
92,2Dog Games
93,2DragonsGames
94,2Frogs Software
95,2K Australia
96,2K Boston
97,2K China
98,2K Czech
99,2K Marin
100,2ndRevelation
101,2ndUp Studios
102,2Pi Interactive Pvt. Ltd.
103,2Play
104,2SD
105,2think design studio
106,2x2 Games
107,2XL Games
108,2xMilk
109,3 Core Studio
110,3 Fright
111,3 Minute Games
112,3 Sprockets
113,30.06 Studios Ltd
114,300 fps
115,3000AD
116,302 Interactive
117,3100 games
118,313 Studios
119,314 Arts
120,343 Industries
121,34BigThings srl
122,38 Studios
123,3acg
124,3Crew
125,3D ARTIST: JACOPO FILO DELLA TORRE
126,3D Avenue
127,3D FACTORY
128,3D Generation
129,3D Realms
130,3D Realms (Apogee Software)
131,3D Talo Finland
132,3D2 Entertainment
133,3DClouds.it
134,3DDUO
135,3Dflow SRL
136,3dinvis games
137,3DIQ
138,3Division
139,3f Interactive
140,3G:Games
141,3GoGames
142,3lb Games
143,3rd Eye Studios
144,3rd Eye Studios Oy LTD
145,3rdEye
146,3RISE
147,3X Entertainment Limited
148,3xBlast
149,3y3.net
150,4 Dimension Games
151,4 Door Lemon
152,4 Friends Games
153,4 Fun Studio
154,4 Fun Studio Inc.
155,4 Head Studios
156,4 I Lab
157,4-Panel Footprint
158,40Ggames
159,4188
160,48h Studio
161,49 Games
162,49肆酒
163,4A Games
164,4AM Games
165,4Bit Games
166,4DMACAU
167,4EdgesGames
168,4FreaksFiction
169,4Friends Games
170,4Fufelz
171,4gency
172,4H StudioLab
173,4Head Studios
174,4HEAD Studios
175,4M Software
176,4MB Interactive Ltd
177,4NetGames
178,4Realms
179,4sdk
180,4ShawGames
181,4th cluster
182,5 Bits Games
183,5 Lives Studios
184,51Pegasi Studios
185,55 Revolver
186,56 Game Studios
187,562 Interactive
188,5minlab
189,5pb
190,5pb.
191,5th Cell Media
192,5th Planet Games
193,5th VR
194,5Wolf
195,6 Eyes Studio
196,64k
197,651 GAMES
198,666999
199,68k Studios
200,6L6 Interactive
201,6waves
202,7 Box Games
203,7 Generation Games
204,7 Keys Studios
205,7 Raven Studios
206,7 Road
207,7 Seals
208,7 Soft Pillows
209,71Games
210,773
211,777 Studios
212,7DOTS
213,7K Games
214,7th Beat Games
215,7TPGames
216,8-bit development
217,8-bit development llc
218,800 North and Digital Ranch
219,80Arcade
220,8888888 LABS
221,88mm
222,89AM Studio
223,8bit
224,8D Studio
225,8Floor
226,8floor
227,8i
228,8monkey Labs
229,8th Floor Games
230,"8th Shore, Inc."
231,9 Eyes Game Studio
232,90E GAMES
233,90Games
234,90s Studio
235,94 Games
236,971 Games
237,98DEMAKE
238,99 Game Studio
239,99Games Online Pvt. Ltd.
240,9heads Game Studios
241,9TH.ART
242,@alonzubin
243,@CarlosGameDev
244,@lukasinspace
245,@peoplepersonpro
246,@unepic_fran
247,@VincentLTower
248,@YearOfTheBob
249,[bracket]games
250,[erka:es]
251,[geim].pro
252,[OneManBand]
253,][ Games Inc
254,_trackC Studios
255,"A & B Game Studios, LLC"
256,A and F studios
257,A Barnett
258,a bonfire of souls
259,A Crowd of Monsters
260,A Jolly Corpse
261,A Maniacal Game LP
262,A Mazeing Tower Defense
263,A Nostru
264,a REGULAR GAMER
265,"A Sharp, LLC"
266,A Small Game AB
267,A Stranger Gravity
268,A Sweet Studio
269,A Trifle Odd
270,A. Hagen
271,A. Strazhev
272,A.D. Klumpp
273,A.Filimonov
274,A.J Starkey Enterprises
275,A.Lepunov
276,A.M. Bosch
277,a.mighty.dish
278,A.Y.std
279,A2G Studios
280,a2z Interactive
281,AA Games
282,AAAGAMES
283,AAD Productions
284,AAKIOO
285,AAlgar Productions
286,Aaram Mahadin
287,Aardman Animations
288,"Aargle, LLC"
289,Aaron Angert
290,Aaron Arcand
291,Aaron Bales
292,Aaron Cochrane
293,Aaron DeVries
294,Aaron Kim
295,Aaron Matthies
296,Aaron Oldenburg
297,Aaron Smith
298,Aaron Taylor
299,Aaron Turner
300,Aartform
301,Aartform Games
302,Aatlantis Code
303,AB SOFT
304,Abbey Games
305,Abbeytek Ltd
306,Abdulla Hassan Al-Farsi
307,Abdullah Firat
308,Aberrant Realities
309,Abigail Corfman
310,Abnormal Software
311,About Airplane LLC
312,Above and Beyond Technologies
313,Abraham Carreola
314,Abrakam SA
315,Abraxas Interactive
316,abso1ution
317,Absolut Soft LLC
318,Absolutist Ltd.
319,Absorb Reality
320,Absorbed Studios
321,Absortalent Games
322,AbsQual Studio
323,abstract garden
324,Abstract Tree Studio
325,AbstractArt
326,AbstractGameStudio
327,Abstraction Games
328,Abstractive Works
329,aburasobabiyori
330,ABX Games Studio
331,Abylight
332,Abyss Gameworks
333,Abyssal Arts Ltd.
334,Abyte Entertainment
335,Academtech LLC
336,Acalamity
337,"Accela,Inc."
338,"Acceleroto, Inc."
339,Accenthd
340,Access Games
341,Access Software
342,Accident Games Studio
343,Accidental Queens
344,Acclaim Cheltenham
345,Acclaim Studios Teeside
346,Accolade
347,"Accolade, Inc"
348,"Accolade, Inc."
349,ACE Ed-Venture Studio
350,ACE MADDOX
351,Ace Of Spades Studios
352,ACE Team
353,acechariot
354,Acerio Games
355,Acerola
356,Achebit
357,Achievement Studios
358,Achpile
359,Acid Cat
360,Acid Nerve
361,Acid Spy Games
362,Acid Wizard Studio
363,Acido Cinza
364,Acke Hallgren
365,Ackk Studios
366,Ackmi
367,"Acme Nerd Games, LLC"
368,AcneVulgaris
369,Acquire
370,ACQUIRE Corp.
371,Acram Digital
372,ACreativeGame Studio
373,Acrylec Studios
374,"Act 3 Games, LLC"
375,Actalogic
376,ActaLogic
377,ActEvolve Inc.
378,"Action Button Entertainment, LLC"
379,Action Panel
380,Action Portal
381,Active Gaming Media Inc.
382,Activision
383,Actoz Soft
384,Actual Humans
385,"Actually A Game Company, L.L.C"
386,Actually Sane Studios
387,Actuator Games
388,Acute Art
389,Acute Games
390,Acuze Interactives
391,Acylis Studios UF
392,Ad Aspera
393,Adage Games
394,Adam DeLease
395,Adam Hebert
396,Adam John Adkins
397,Adam Mowery
398,Adam Murgittroyd
399,Adam Noble
400,Adam Radziszewski
401,Adam Saltsman
402,Adam Spragg
403,Adam Tarnowski
404,Adam Thompson
405,Adam Wells
406,Adaptive Game
407,ADB
408,aDeCon Production
409,Adem Kaya Rockyade
410,Adept Studios GD
411,Adham Jaber
412,ADhD Studios
413,Adhoc Games
414,Adil Ahmed
415,"Adityaraj Rukhane, ""Adiart"""
416,Admir Leka
417,adnzzzzZ
418,Adreamation Games Studio
419,Adrenasoft Studios
420,Adriaan de Jongh
421,Adrian Lannon
422,Adrian Waltrowski
423,Adrian Zingg
424,AdroVGames
425,Aduge Studio
426,Advent RPG
427,Adventure Beard
428,Adventure Islands
429,Adventure Mob
430,Adventure Planning Service
431,Adventure Soft
432,Adventurepro Games LLC
433,AECRNIA
434,Aegon Games
435,Aegon Games Ltd
436,AEL Entertainment
437,Aemaeth Monster
438,Aeonic Entertainment
439,Aera Studios
440,Aerilon Studios
441,Aero Games
442,AeroLab Studios
443,Aerolab Studios LTD
444,Aerolito
445,AeroRider
446,Aesir Interactive
447,Aesthetic Interactive
448,Aetheric Games
449,AFBIK Studio
450,Afeel inc
451,AFF Dev Team
452,Afrobeast Games
453,AfroDieter
454,Afrosquared LLC
455,AFStudio
456,After Death Team
457,"After Sunset Games, LLC"
458,Afterburn
459,Afterlife Games
460,Aftermath Media
461,aftermonk
462,Afterthought Games
463,Afterthought LLC
464,Afterthought Studios
465,AFY Games
466,AG Directions Inc.
467,AG media
468,Agafonoff
469,Against Gravity®
470,Agar3s
471,Agate
472,AGC
473,Agelvik
474,Agency Principle
475,Agent Mega
476,Ageod
477,Aggressive Combustion
478,Aggroblakh
479,Agharta Studio
480,Aghayeva and Ko s.r.o.
