publisher_id,publisher_name
1, 
2,  Milestone S.r.l.
3, AFBIK Studio
4, Anea_Duo_Dev
5, Asterion Games
6, Aurora software
7, AYE Technology
8, BBB Games
9, Big Fish Games
10, Black Poodle Entertainment
11, Boogygames Studios
12, Dagestan Technology
13, David J Ozsvath
14, Droid Riot
15, Expect Studio 
16, Fazan
17, FobTi interactive
18, Fury Games Production
19, Game for people
20, Game for people	
21, GrabTheGames
22," GungHo Online Entertainment America, Inc.	"
23, HongbinGame
24, I SHOW YOU
25, Imbanova Entertainment Inc.
26, Inertia Game Studios
27, Maciej Targoni
28, MariLuzaria
29, Metal Fox
30, Mirain Mainklain
31, MyACG Studio
32, Nekyau
33, Nekyau Games
34, Nikita Online
35, NRVR Studios
36, OnBlind
37, Polina Medyanik
38, Ragnar
39, Ravio Karo
40, RoBot
41, Rotten Horse Games
42, s_unk
43, Sean Davy
44, Silence Game
45, singi
46, SOFTSTAR TECHNOLOGY BEIJINGCOLTD
47, Team Spieluhr
48, The Idea Software
49, Trueyuna Technology Co. Ltd.
50, VeaTryzLon-ZeGod
51, VisualArts
52, VladProduction
53, Volha
54, Volokitin Andrey
55, VR PrinceTechnology development Beijing Co. Ltd
56, Wargaming Group Limited
57, Yiming
58, Zotdinex
59, Ｌｅ�?�?ｎ　Ｂ�?ｌ�?
60,!Lim studio
61,(none)
62,(STCG) Smoker The Car Game
63,++Good Games
64,+7 Software
65,"+Mpact Games, LLC."
66,-
67,--
68,-Yodasaurus- Games
69,.ez Games
70,.M.Y.W.
71,0Cube
72,100 Plus Games llc
73,100 Stones Interactive
74,10101 Software
75,101XP
76,10Ants Hill
77,10ft Games
78,10ravens s.r.o.
79,10tons Ltd
80,10x10 Room
81,11 bit studios
82,11Sheep
83,12 East Games
84,12 to 6 Studios LLC
85,12B3
86,13-lab
87,13AM Games
88,13AM Shipping Solutions
89,14 Dimension Enterprise
90,14 Hours Productions
91,14Dimension Enterprise
92,16 Swans
93,16air
94,17-BIT
95,17Studio
96,1812 Productions
97,18Light Game Ltd.
98,1939 Games
99,1bgame
100,1C Company
101,1C Entertainment
102,1C Entertainment 
103,1C Game Studios
104,1C Online Games
105,1C-777
106,1C-SoftClub
107,1MP
108,1st impact games
109,2 Bad Design
110,2 Hit Studio
111,2 Zombie Games
112,2-Volt Games
113,2.0 Studios
114,2020 Venture
115,2049VR
116,20letpast
117,20Tab
118,20th Century Fox Film Corporation
119,22cans
120,25% Games
121,2645interactive
122,26k
123,2:30 AM Studios
124,2Awesome Studio
125,2axion
126,2B_GAMES
127,2BAD GAMES
128,2BDev
129,2Bit Studios
130,2Brains Games
131,2Chance Projects
132,2D BOY 
133,2D Heroes
134,2DArray
135,2dengine
136,2DGameMania
137,2DHD
138,2Dimensions
139,2Dog Games
140,2DragonsGames
141,2Dream
142,2ForallGames
143,2Frogs Software
144,2K
145,2ndDimensionGhost
146,2ndUp Studios
147,2Play
148,2tainment GmbH
149,2Tall Inc.
150,2x2 Games
151,2xMilk
152,3 Core Studio
153,3 Fright
154,3 Sprockets
155,3 Sprockets 
156,30/30
157,300 fps
158,3000AD
159,3100 games
160,313 Studios
161,314 Arts
162,33 Production
163,33ParadoX
164,34BigThings srl
165,38 Studios
166,3909
167,3acg
168,3BLACKDOT
169,3Crew
170,3D Avenue
171,3D FACTORY
172,3D Generation
173,3D Realms
174,3D Realms (Apogee Software)
175,3D Talo Finland Ltd.
176,3Dflow SRL
177,3dinvis games
178,3DIQ
179,3Division
180,3f Interactive
181,3G:Games
182,3GoGames
183,3lb Games
184,3rd Eye Studios
185,3rd Eye Studios Oy LTD
186,3rd Pinnacle Games
