appid,name,release_date,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
10,Counter-Strike                            ,2000-11-01,0,0,124534,3339,17612,317
20,Team Fortress Classic                     ,1999-04-01,0,0,3318,633,277,62
30,Day of Defeat                             ,2003-05-01,0,0,3416,398,187,34
40,Deathmatch Classic                        ,2001-06-01,0,0,1273,267,258,184
50,Half-Life: Opposing Force                 ,1999-11-01,0,0,5250,288,624,415
60,Ricochet                                  ,2000-11-01,0,0,2758,684,175,10
70,Half-Life                                 ,1998-11-08,0,0,27755,1100,1300,83
80,Counter-Strike: Condition Zero            ,2004-03-01,0,0,12120,1439,427,43
130,Half-Life: Blue Shift                     ,2001-06-01,0,0,3822,420,361,205
220,Half-Life 2                               ,2004-11-16,0,33,67902,2419,691,402
240,Counter-Strike: Source                    ,2004-11-01,0,147,76640,3497,6842,400
280,Half-Life: Source                         ,2004-06-01,0,0,3767,1053,190,214
300,Day of Defeat: Source                     ,2010-07-12,0,54,10489,1210,1356,134
320,Half-Life 2: Deathmatch                   ,2004-11-01,0,0,6020,787,311,32
340,Half-Life 2: Lost Coast                   ,2005-10-27,0,0,5783,1020,46,29
360,Half-Life Deathmatch: Source              ,2006-05-01,0,0,1362,473,102,81
380,Half-Life 2: Episode One                  ,2006-06-01,0,13,7908,517,281,184
400,Portal                                    ,2007-10-10,0,15,51801,1080,288,137
420,Half-Life 2: Episode Two                  ,2007-10-10,0,22,13902,696,354,301
440,Team Fortress 2                           ,2007-10-10,0,520,515879,34036,8495,623
500,Left 4 Dead                               ,2008-11-17,0,73,17951,948,897,278
550,Left 4 Dead 2                             ,2009-11-19,0,70,251789,8418,1615,566
570,Dota 2                                    ,2013-07-09,0,0,863507,142079,23944,801
620,Portal 2                                  ,2011-04-18,0,51,138220,1891,1102,520
630,Alien Swarm                               ,2010-07-19,0,66,17435,941,371,83
730,Counter-Strike: Global Offensive          ,2012-08-21,0,167,2644404,402313,22494,6502
1002,Rag Doll Kung Fu                          ,2005-10-12,0,0,40,17,0,0
1200,Red Orchestra: Ostfront 41-45             ,2006-03-14,0,44,1562,223,232,258
1250,Killing Floor                             ,2009-05-14,0,285,53710,2649,1328,306
1300,SiN Episodes: Emergence                   ,2006-05-10,0,0,468,61,0,0
1500,Darwinia                                  ,2005-07-14,0,0,472,158,182,273
1510,Uplink                                    ,2006-08-23,0,0,1602,152,65,77
1520,DEFCON                                    ,2006-09-29,0,22,2057,344,80,119
1530,Multiwinia                                ,2008-09-19,0,12,368,75,121,224
1600,Dangerous Waters                          ,2006-02-07,0,0,140,44,0,0
1610,Space Empires IV Deluxe                   ,2006-02-07,0,0,112,26,0,0
1630,Disciples II: Rise of the Elves           ,2006-07-06,0,0,451,108,0,0
1640,Disciples II: Gallean's Return            ,2006-07-06,0,0,490,152,9,12
1670,Iron Warriors: T - 72 Tank Command        ,2006-07-26,0,0,137,102,0,0
1690,Space Empires V                           ,2006-10-16,0,0,191,85,35,35
1700,Arx Fatalis                               ,2007-04-03,0,0,671,106,11,21
1840,Source Filmmaker                          ,2012-07-10,0,0,15083,1111,239,77
1900,Earth 2160                                ,2006-04-01,0,0,498,238,405,414
1930,Two Worlds Epic Edition                   ,2009-04-30,0,0,2656,1055,484,422
2100,Dark Messiah of Might & Magic             ,2006-10-25,0,0,4386,316,634,700
2200,Quake III Arena                           ,2007-08-03,0,0,1362,66,123,103
2210,Quake IV                                  ,2011-08-04,18,0,891,171,36,32
2270,Wolfenstein 3D                            ,2007-08-03,0,0,1773,87,69,110
2280,Ultimate Doom                             ,2007-08-03,0,0,3705,257,125,179
2290,Final DOOM                                ,2007-08-03,0,0,573,82,120,114
2300,DOOM II                                   ,2007-08-03,0,0,2517,182,90,78
2310,QUAKE                                     ,2007-08-03,0,0,2618,136,167,189
2320,QUAKE II                                  ,2007-08-03,0,0,1369,107,291,349
2330,QUAKE II Mission Pack: The Reckoning      ,2007-08-03,0,0,65,12,32,32
2340,QUAKE II Mission Pack: Ground Zero        ,2007-08-03,0,0,54,33,1,1
2350,QUAKE III: Team Arena                     ,2007-08-03,0,0,108,31,0,0
2360,HeXen: Beyond Heretic                     ,2007-08-03,0,0,249,26,50,50
2370,HeXen: Deathkings of the Dark Citadel     ,2007-08-03,0,0,57,20,0,0
2390,Heretic: Shadow of the Serpent Riders     ,2007-08-03,0,0,417,29,0,0
2400,The Ship: Murder Party                    ,2006-07-11,0,0,4819,792,233,239
2450,Bloody Good Time                          ,2010-10-29,0,12,662,204,193,193
2500,Shadowgrounds                             ,2006-05-08,0,0,973,248,186,258
2520,Gumboy - Crazy Adventures™              ,2006-12-19,0,0,52,46,0,0
2590,Alpha Prime                               ,2007-11-07,0,0,610,523,0,0
2600,Vampire: The Masquerade - Bloodlines      ,2007-03-22,0,0,6161,362,350,202
2610,GUN™                                    ,2006-10-13,0,0,740,87,462,889
2620,Call of Duty®                            ,2006-10-13,0,0,1555,117,545,849
2630,Call of Duty® 2                          ,2006-10-13,0,0,2434,236,750,1041
2640,Call of Duty: United Offensive            ,2006-10-13,0,0,490,97,0,0
2710,Act of War: Direct Action                 ,2008-03-12,0,0,180,33,0,0
2720,ThreadSpace: Hyperbol                     ,2007-07-12,0,0,31,9,0,0
2780,ARMA: Combat Operations                   ,2008-03-12,0,0,145,77,0,0
2800,X2: The Threat                            ,2006-07-21,0,0,212,50,732,732
2810,X3: Reunion                               ,2006-07-21,0,0,282,113,831,1232
2820,X3: Terran Conflict                       ,2008-10-16,0,33,1633,272,972,1273
2840,X: Beyond the Frontier                    ,2010-10-08,0,0,142,48,648,648
2850,X: Tension                                ,2010-10-08,0,0,57,18,13,13
2870,X Rebirth                                 ,2013-11-15,0,69,2832,4032,1744,3386
2900,688(I) Hunter/Killer                      ,2006-10-26,0,0,52,17,0,0
2910,Fleet Command                             ,2006-10-26,0,0,127,31,0,0
2920,Sub Command                               ,2006-10-26,0,0,33,14,0,0
2990,FlatOut 2™                              ,2006-12-21,0,0,5438,343,293,351
3010,Xpand Rally                               ,2006-08-24,0,0,139,39,939,939
3020,Call of Juarez™                         ,2007-11-08,0,0,793,198,46,60
3050,Xpand Rally Xtreme                        ,2008-10-08,0,0,71,36,0,0
3130,Men of War: Red Tide                      ,2009-11-01,0,0,294,69,0,0
3170,King's Bounty: Armored Princess           ,2009-11-19,0,0,482,53,1422,1429
3230,Genesis Rising                            ,2007-08-06,0,0,30,94,0,0
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,0,0,256,172,1,1
3270,Painkiller Overdose                       ,2007-10-30,0,0,429,137,270,270
3330,Zuma Deluxe                               ,2006-08-30,0,0,437,37,267,267
3410,Heavy Weapon Deluxe                       ,2006-08-30,0,0,71,28,0,0
3480,Peggle Deluxe                             ,2007-03-06,0,0,1106,66,214,254
3483,Peggle Extreme                            ,2007-09-11,0,0,707,58,1,1
3490,Venice Deluxe                             ,2007-06-25,0,0,10,2,0,0
3500,Mystery P.I.™ - The Lottery Ticket      ,2007-10-16,0,0,10,3,0,0
3510,Amazing Adventures The Lost Tomb™       ,2007-12-13,0,0,21,8,0,0
3520,Mystery P.I.™ - The Vegas Heist         ,2008-06-05,0,0,11,5,0,0
3530,Amazing Adventures Around the World       ,2009-04-15,0,0,23,7,0,0
3540,Peggle™ Nights                          ,2008-10-15,0,0,368,24,237,237
3560,Bejeweled Twist                           ,2008-11-18,0,0,98,18,0,0
3570,Mystery P.I.™ - The New York Fortune    ,2009-01-28,0,0,8,5,0,0
3580,The Wizard's Pen™                       ,2009-02-18,0,0,15,3,0,0
3590,Plants vs. Zombies GOTY Edition           ,2009-05-05,0,21,14630,454,480,374
3600,Escape Rosecliff Island                   ,2009-04-15,0,0,97,57,0,0
3610,Mystery P.I. - Lost in Los Angeles        ,2009-07-27,0,0,8,3,0,0
3620,Zuma's Revenge!                           ,2009-09-15,0,14,435,28,0,0
3700,Sniper Elite                              ,2009-07-16,0,0,1181,377,262,371
3710,Judge Dredd: Dredd vs. Death              ,2009-03-26,0,0,559,79,8,8
3720,Evil Genius                               ,2009-06-22,0,0,1847,95,287,318
3730,Aliens versus Predator Classic 2000       ,2010-01-15,0,0,1434,219,20,24
3800,Advent Rising                             ,2006-09-14,0,0,260,71,0,0
3810,BloodRayne                                ,2006-09-14,0,0,369,110,111,111
3820,BloodRayne 2                              ,2006-09-14,0,0,259,103,771,771
3830,Psychonauts                               ,2006-10-11,0,37,8204,456,491,232
3900,Sid Meier's Civilization® IV             ,2006-10-25,0,0,1394,129,49,64
3910,Sid Meier's Civilization® III Complete   ,2006-10-25,0,0,2578,405,1166,13
3920,Sid Meier's Pirates!                      ,2005-07-11,0,0,2641,193,296,436
3960,Shattered Union                           ,2006-10-25,0,0,39,49,0,0
3980,CivCity: Rome                             ,2007-04-06,0,0,184,65,0,0
3990,Civilization IV®: Warlords               ,2007-04-06,0,0,121,20,0,0
4000,Garry's Mod                               ,2006-11-29,0,29,363721,16433,12422,1875
4100,Poker Superstars II                       ,2006-10-05,0,0,4,5,0,0
4230,RACE - The WTCC Game                      ,2006-11-24,0,0,119,43,0,0
4290,RACE: Caterham Expansion                  ,2007-06-22,0,0,4,2,0,0
4300,RoboBlitz                                 ,2006-11-07,0,0,43,14,78,78
4420,Silverfall                                ,2007-03-20,0,0,57,36,0,0
4460,City Life 2008                            ,2008-09-29,0,0,77,41,0,0
4470,Silverfall: Earth Awakening               ,2008-07-18,0,0,31,17,0,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl       ,2007-03-20,0,0,11039,570,493,360
4520,Full Spectrum Warrior                     ,2007-07-17,0,0,106,60,124,244
4530,Full Spectrum Warrior: Ten Hammers        ,2007-07-17,0,0,76,38,1,1
4560,Company of Heroes - Legacy Edition        ,2007-07-17,18,0,4772,320,175,186
4570,"Warhammer® 40,000: Dawn of War® - Game o",2007-08-07,16,0,3485,206,309,340
4580,"Warhammer® 40,000: Dawn of War® - Dark C",2007-08-07,16,0,2849,133,543,620
4700,Total War: MEDIEVAL II – Definitive Edit,2006-11-15,0,0,10270,605,469,361
4720,Condemned: Criminal Origins               ,2012-10-29,18,0,1243,221,312,312
4760,Rome: Total War™ - Collection           ,2007-08-28,0,0,7806,562,897,1192
4770,Rome: Total War™ - Alexander            ,2007-08-28,0,0,331,131,33,33
4780,Medieval II: Total War™ Kingdoms        ,2007-08-28,0,0,585,30,0,0
4800,Heroes of Annihilated Empires             ,2006-11-22,0,0,259,46,0,0
4850,Cossacks: Back to War                     ,2010-09-02,0,0,1081,143,1134,1208
4870,Cossacks: Art of War                      ,2011-08-26,0,0,102,22,0,0
4880,Cossacks: European Wars                   ,2011-08-26,0,0,170,66,1,1
4890,Cossacks II: Battle for Europe            ,2011-08-26,0,0,246,138,71,71
4900,Zen of Sudoku                             ,2006-12-14,0,0,122,17,0,0
4920,Natural Selection 2                       ,2012-10-30,0,67,8372,1498,627,253
6000,STAR WARS™ Republic Commando™         ,2009-07-08,0,0,6392,379,369,265
6010,Indiana Jones® and the Fate of Atlantis�,2009-07-08,0,0,597,31,419,804
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,0,0,5684,330,1254,174
6030,STAR WARS™ Jedi Knight II - Jedi Outcast,2009-09-16,0,0,2020,219,127,180
6040,The Dig®                                 ,2009-07-08,0,0,575,55,801,801
6060,"Star Wars: Battlefront 2 (Classic, 2005)  ",2009-07-08,0,0,29149,2425,618,320
6080,Thrillville®: Off the Rails™           ,2009-07-08,0,0,272,38,17,17
6090,Armed and Dangerous®                     ,2009-07-08,0,0,115,18,100,100
6120,Shank                                     ,2010-10-25,0,12,1749,227,255,363
6200,Ghost Master®                            ,2006-12-21,0,0,1025,164,21,21
6210,Vegas: Make It Big™                     ,2006-12-21,0,0,91,33,0,0
6220,FlatOut                                   ,2007-02-02,0,0,1977,186,78,96
6250,Making History: The Calm & the Storm      ,2007-03-13,0,0,460,107,0,0
6270,Ducati World Championship                 ,2007-09-21,0,0,77,100,0,0
6300,Dreamfall: The Longest Journey            ,2007-01-12,0,0,588,89,20,20
6310,The Longest Journey                       ,2007-05-01,0,0,1152,102,14,19
6370,Bloodline Champions                       ,2011-10-28,0,0,1365,226,70,102
6400,Joint Task Force                          ,2007-03-27,0,0,100,15,0,0
6420,Nexus - The Jupiter Incident              ,2007-07-03,0,0,474,90,0,0
6510,Lost Planet™: Extreme Condition         ,2007-06-29,0,0,569,178,74,74
6550,Devil May Cry® 3 Special Edition         ,2007-06-12,0,0,1462,1052,90,90
6800,Commandos: Behind Enemy Lines             ,2007-03-15,0,0,1561,213,63,70
6810,Commandos: Beyond the Call of Duty        ,2007-03-15,0,0,404,71,12,14
6830,Commandos 2: Men of Courage               ,2007-03-15,0,0,1333,238,201,302
6840,Commandos 3: Destination Berlin           ,2007-03-15,0,0,421,265,14,20
6850,Hitman 2: Silent Assassin                 ,2007-03-15,16,0,1514,260,63,58
6860,Hitman: Blood Money                       ,2007-03-15,18,0,5864,391,435,365
6870,Battlestations: Midway                    ,2007-03-15,0,0,316,113,0,0
6880,Just Cause                                ,2007-03-15,16,0,1732,846,20,25
6900,Hitman: Codename 47                       ,2007-03-15,18,0,1186,450,62,43
6910,Deus Ex: Game of the Year Edition         ,2007-03-29,16,0,6242,347,324,245
6920,Deus Ex: Invisible War                    ,2007-03-29,16,0,649,433,24,31
6980,Thief: Deadly Shadows                     ,2007-03-29,0,0,1135,210,254,368
7000,Tomb Raider: Legend                       ,2007-03-29,16,0,1656,243,714,725
7010,Project: Snowblind                        ,2007-03-29,0,0,175,61,0,0
7020,Rogue Trooper                             ,2007-03-29,0,0,248,15,0,0
7110,Jade Empire™: Special Edition           ,2007-02-27,0,0,809,279,0,0
7200,Trackmania United Forever Star Edition    ,2008-04-16,0,0,963,55,4774,4774
7210,"Runaway, A Road Adventure                 ",2007-03-14,0,0,236,90,14,14
7220,"Runaway, The Dream of The Turtle          ",2007-03-14,0,0,86,65,0,0
7260,Loki                                      ,2007-10-05,0,0,69,54,0,0
7340,Azada                                     ,2010-04-21,0,0,8,4,0,0
7510,X-Blades                                  ,2009-04-30,0,0,1566,981,313,341
7520,Two Worlds II HD                          ,2011-02-03,0,61,3054,2051,327,403
7530,Two Worlds II Castle Defense              ,2011-06-14,0,0,153,194,320,330
7600,Sid Meier's Railroads!                    ,2007-05-04,0,0,1114,570,165,253
7610,Railroad Tycoon 3                         ,2007-05-04,0,0,355,153,46,46
7620,Railroad Tycoon II Platinum               ,2007-05-04,0,0,420,82,1244,1261
7650,X-COM: Terror From the Deep               ,2007-05-04,0,0,385,32,66,82
